,edge_run,CGI_dG,CGI_Std_Err_parametric,CGI_Std_Err_bootstrip,BAR_dG,BAR_Std_Err_bootstrip,BAR_Std_Err_analytical,num_forward,num_backward,source_file
666,edge_lig_19721-2_lig_120-1_run1_protein,129.37,0.45,0.49,129.38,0.58,0.52,80,43,05fs
667,edge_lig_19721-2_lig_120-1_run1_water,132.74,0.77,0.85,132.82,0.37,0.19,79,48,05fs
678,edge_lig_12610-1_lig_120-1_run1_protein,25.44,0.66,0.54,24.47,0.41,2.35,66,79,default
679,edge_lig_12610-1_lig_120-1_run1_water,28.57,0.16,0.12,28.46,0.16,0.19,60,56,default
4062,edge_lig_24446-1_lig_120-1_run1_protein,60.78,0.81,0.67,59.48,1.01,1.22,80,39,default
4063,edge_lig_24446-1_lig_120-1_run1_water,62.61,0.22,0.22,62.4,0.27,0.27,52,41,default
1222,edge_lig_26097-1_lig_120-1_run1_protein,-9.39,1.0,1.01,-12.65,1.17,45.81,80,80,05fs
1223,edge_lig_26097-1_lig_120-1_run1_water,-11.04,0.24,0.2,-11.22,0.31,0.22,80,79,05fs
504,edge_lig_11308-1_lig_40523-1_run1_protein,-2.56,0.33,0.35,-3.14,0.38,0.47,80,80,default
505,edge_lig_11308-1_lig_40523-1_run1_water,-2.18,0.15,0.19,-2.26,0.13,0.18,79,80,default
1726,edge_lig_29641-1_lig_40523-1_run1_protein,17.71,0.39,0.46,17.8,0.68,0.41,80,80,05fs
1727,edge_lig_29641-1_lig_40523-1_run1_water,13.67,0.35,0.35,17.88,0.24,0.17,33,80,05fs
6622,edge_lig_3845-1_lig_40523-1_run1_protein,71.56,0.6,0.74,71.22,0.46,0.82,78,80,default
6623,edge_lig_3845-1_lig_40523-1_run1_water,73.37,0.24,0.27,73.43,0.24,0.18,19,79,default
1732,edge_lig_15806-1_lig_40523-1_run1_protein,32.89,0.34,0.32,32.22,0.45,0.3,48,39,default
1733,edge_lig_15806-1_lig_40523-1_run1_water,32.32,0.29,0.33,32.39,0.21,0.15,37,40,default
2302,edge_lig_3552-1_lig_40523-1_run1_protein,76.3,0.32,0.27,76.52,0.29,0.16,80,80,05fs
2303,edge_lig_3552-1_lig_40523-1_run1_water,76.67,0.36,0.27,74.79,0.25,0.17,79,74,05fs
428,edge_lig_10913-2_lig_40523-1_run1_protein,-5.69,0.35,0.37,-6.06,0.39,0.22,68,28,default
429,edge_lig_10913-2_lig_40523-1_run1_water,-5.08,0.12,0.09,-4.99,0.11,0.12,74,73,default
918,edge_lig_23260-2_lig_40523-1_run1_protein,-59.22,0.31,0.26,-59.56,0.41,0.22,80,80,05fs
919,edge_lig_23260-2_lig_40523-1_run1_water,-56.54,0.3,0.32,-56.82,0.36,0.22,76,73,05fs
1850,edge_lig_3037-1_lig_40523-1_run1_protein,-12.19,0.31,0.32,-11.98,0.31,0.16,76,80,05fs
1851,edge_lig_3037-1_lig_40523-1_run1_water,-7.47,0.23,0.28,-6.5,0.2,0.15,75,80,05fs
3470,edge_lig_4633-1_lig_40523-1_run1_protein,-11.94,0.87,0.73,-8.43,0.56,0.24,57,80,05fs
3471,edge_lig_4633-1_lig_40523-1_run1_water,-9.38,0.27,0.23,-7.71,0.18,0.15,60,80,05fs
