,edge_run,CGI_dG,CGI_Std_Err_parametric,CGI_Std_Err_bootstrip,BAR_dG,BAR_Std_Err_bootstrip,BAR_Std_Err_analytical,num_forward,num_backward,BAR_conv,BAR_conv_abs,BAR_conv_bootstrip,source
879,edge_lig_4-99_lig_32345-1_run2_water,-24.98,0.17,0.17,-24.96,0.18,0.21,80,80,0.29,0.29,0.14,default
880,edge_lig_4-99_lig_32345-1_run3_protein,-29.98,0.41,0.39,-28.46,0.21,1.98,80,80,0.98,0.98,0.00,default
881,edge_lig_4-99_lig_32345-1_run3_water,-25.17,0.18,0.18,-25.13,0.15,0.25,80,80,0.4,0.4,0.14,default
888,edge_lig_4-99_lig_39967-1_run1_protein,31.01,0.94,1.24,33.04,1.11,5.01,80,24,0.99,0.99,0.01,default
889,edge_lig_4-99_lig_39967-1_run1_water,33.12,0.21,0.19,33.02,0.22,0.25,80,80,0.25,0.25,0.15,default
890,edge_lig_4-99_lig_39967-1_run2_protein,27.23,0.47,0.52,29.22,0.71,2.1,80,80,0.93,0.93,0.02,default
891,edge_lig_4-99_lig_39967-1_run2_water,33.28,0.24,0.22,33.31,0.16,0.5,80,80,0.85,0.85,0.02,default
892,edge_lig_4-99_lig_39967-1_run3_protein,31.15,0.4,0.39,32.16,0.26,3.38,80,80,0.99,0.99,0.00,default
893,edge_lig_4-99_lig_39967-1_run3_water,32.68,0.24,0.23,32.81,0.28,0.34,80,80,0.18,0.18,0.17,default
672,edge_lig_29061-4_lig_10597-1_run1_protein,-4.78,0.26,0.31,-4.72,0.29,0.28,80,80,0.0,0.0,0.22,default
673,edge_lig_29061-4_lig_10597-1_run1_water,-6.24,0.15,0.17,-5.87,0.16,0.14,77,79,-0.09,0.09,0.07,default
674,edge_lig_29061-4_lig_10597-1_run2_protein,-5.06,0.16,0.19,-4.83,0.16,0.17,80,80,-0.01,0.01,0.10,default
675,edge_lig_29061-4_lig_10597-1_run2_water,-6.23,0.14,0.15,-5.85,0.16,0.13,78,80,-0.13,0.13,0.07,default
676,edge_lig_29061-4_lig_10597-1_run3_protein,-4.48,0.22,0.22,-4.68,0.23,0.25,80,80,0.12,0.12,0.15,default
677,edge_lig_29061-4_lig_10597-1_run3_water,-5.95,0.13,0.14,-5.69,0.13,0.14,77,80,-0.07,0.07,0.07,default
678,edge_lig_29061-4_lig_29062-4_run1_protein,-5.79,0.26,0.25,-5.59,0.37,0.29,80,80,-0.16,0.16,0.15,default
679,edge_lig_29061-4_lig_29062-4_run1_water,-4.27,0.15,0.15,-4.35,0.18,0.18,80,76,0.02,0.02,0.13,default
680,edge_lig_29061-4_lig_29062-4_run2_protein,-4.14,0.19,0.18,-4.12,0.22,0.2,80,80,-0.13,0.13,0.09,default
681,edge_lig_29061-4_lig_29062-4_run2_water,-4.21,0.15,0.12,-4.1,0.13,0.13,78,78,0.07,0.07,0.07,default
682,edge_lig_29061-4_lig_29062-4_run3_protein,-4.74,0.21,0.18,-5.11,0.2,0.19,80,80,0.0,0.0,0.11,default
683,edge_lig_29061-4_lig_29062-4_run3_water,-4.06,0.16,0.18,-4.08,0.17,0.18,80,80,0.11,0.11,0.11,default
360,edge_lig_19269-1_lig_29061-4_run1_protein,-94.42,0.31,0.2,-93.95,0.15,0.32,80,47,0.56,0.56,0.08,default
361,edge_lig_19269-1_lig_29061-4_run1_water,-92.73,0.35,0.35,-94.57,0.23,0.16,77,24,-0.52,0.52,0.06,default
362,edge_lig_19269-1_lig_29061-4_run2_protein,-94.93,0.27,0.37,-95.25,0.57,0.34,72,48,-0.42,0.42,0.18,default
363,edge_lig_19269-1_lig_29061-4_run2_water,-92.71,0.3,0.32,-93.33,0.21,0.19,80,18,-0.18,0.18,0.11,default
364,edge_lig_19269-1_lig_29061-4_run3_protein,-94.61,0.26,0.27,-94.52,0.19,0.25,80,55,0.08,0.08,0.12,default
365,edge_lig_19269-1_lig_29061-4_run3_water,-92.82,0.29,0.27,-93.62,0.28,0.19,78,23,-0.35,0.35,0.09,default
78,edge_lig_20061-3_lig_29061-4_run1_protein,2.24,0.31,0.24,2.17,0.24,0.28,57,57,0.15,0.15,0.13,05fs
79,edge_lig_20061-3_lig_29061-4_run1_water,-0.39,0.2,0.2,-0.39,0.15,0.11,80,80,-0.6,0.6,0.04,05fs
404,edge_lig_20061-3_lig_29061-4_run2_protein,0.57,0.25,0.23,0.45,0.41,0.41,16,80,0.15,0.15,0.40,default
405,edge_lig_20061-3_lig_29061-4_run2_water,1.65,0.14,0.12,1.33,0.13,0.12,80,80,0.03,0.03,0.07,default
82,edge_lig_20061-3_lig_29061-4_run3_protein,1.1,0.23,0.26,0.42,0.24,0.19,46,45,-0.06,0.06,0.10,05fs
83,edge_lig_20061-3_lig_29061-4_run3_water,-0.59,0.13,0.15,-0.58,0.13,0.09,80,80,-0.55,0.55,0.03,05fs
816,edge_lig_37891-3_lig_4798-1_run1_protein,6.73,0.27,0.22,6.52,0.35,0.54,77,39,0.4,0.4,0.28,default
817,edge_lig_37891-3_lig_4798-1_run1_water,7.22,0.23,0.16,7.0,0.16,0.15,30,32,-0.23,0.23,0.08,default
188,edge_lig_37891-3_lig_4798-1_run2_protein,7.03,0.19,0.2,7.25,0.26,0.25,80,80,-0.03,0.03,0.12,05fs
189,edge_lig_37891-3_lig_4798-1_run2_water,5.88,0.42,0.41,5.97,0.18,0.12,79,80,-0.69,0.69,0.03,05fs
820,edge_lig_37891-3_lig_4798-1_run3_protein,8.64,0.14,0.17,8.61,0.18,0.2,73,47,0.15,0.15,0.14,default
821,edge_lig_37891-3_lig_4798-1_run3_water,7.32,0.13,0.14,7.26,0.11,0.13,47,43,0.08,0.08,0.08,default
174,edge_lig_11063-2_lig_4798-1_run1_protein,-3.27,0.14,0.14,-3.29,0.12,0.19,80,80,0.39,0.39,0.08,default
175,edge_lig_11063-2_lig_4798-1_run1_water,-2.0,0.06,0.05,-2.03,0.06,0.08,77,80,0.14,0.14,0.05,default
176,edge_lig_11063-2_lig_4798-1_run2_protein,-4.13,0.07,0.06,-4.11,0.07,0.09,80,80,0.2,0.2,0.05,default
177,edge_lig_11063-2_lig_4798-1_run2_water,-1.92,0.06,0.08,-2.03,0.07,0.08,78,80,0.05,0.05,0.04,default
