"Title","SMILES"
"973","*C(C)C(O)c1ccc(O)cc1"
"974","*CCNCc1cccnc1"
"976","*c1ncnc2[nH]ccc12"
"977","*CCC(C)(O)c1ccccc1"
"980","*CCNC"
"981","*CCC(=O)Nc1ccccc1OC"
"982","*Cc1nc2cc(O)ccc2[nH]1"
"984","*CCCCNCc1cccnc1"
"985","*CCC(C)c1cccc(OC)c1"
"986","*CCNCC"
"987","*CC1Cc2ccccc2C1"
"988","*S(=O)(=O)CCc1ccccc1"
"989","*CCC(C)c1ccc(OC)cc1"
"995","*CCCN1CCCCC1"
"996","*CCCCc1ccccc1"
"997","*C1CCc2ccccc2CC1"
"999","*CCC(=O)Nc1ccccc1"
"1006","*C(=O)N1CCN(C(C)C)CC1"
"1008","*CC1CCc2ccccc2C1"
"1012","*CCn1ccc(C)n1"
"1013","*CCC(C)c1ccccc1"
"1014","*C(=O)Nc1ccc(O)cc1"
"1015","*c1ccc2c(c1)OCCO2"
"1016","*Cc1nc(-c2ccccc2)no1"
"1024","*Cc1nnc(-c2ccccc2)o1"
"1025","*c1cccc2c1CC(=O)N2"
"1028","*C(=O)n1cccn1"
"1030","*CCCNS(=O)(=O)c1ccccc1"
"1031","*Cc1cc2ccccc2o1"
"1032","*CCC(=O)Nc1nccs1"
"1034","*C(=O)n1cc(C)cn1"
"1035","*CC(=O)N(C)c1ccccc1"
"1037","*c1nc(C)cc(COC)c1C#N"
"1040","*CC1CCCCC1"
"1043","*S(=O)(=O)c1ccccc1C"
"1044","*S(=O)(=O)c1ccccc1F"
"1045","*CC(O)COc1ccc(F)cc1"
"1047","*C(=O)Nc1ccc(S(N)(=O)=O)cc1"
"1051","*c1cccc2[nH]c(C(F)(F)F)nc12"
"1052","*CC(=O)N1CCc2ccccc21"
"1053","*c1nc2ncccc2n2cccc12"
"1054","*c1ncc(C(N)=O)s1"
"1055","*C1Cc2ccccc2N(C)C1=O"
"1059","*CCN1C(=O)c2ccccc2C1=O"
"1061","*c1cccc2[nH]c(O)nc12"
"1062","*Cc1ccccc1O"
"1063","*Cc1ccc(OC)cc1"
"1066","*S(=O)(=O)c1ccc(F)cc1"
"1068","*S(=O)(=O)c1ccc(OC)cc1"
"1070","*c1cccc2[nH]cnc12"
"1071","*c1cccc2[nH]ccc12"
"1073","*CC(=O)Nc1nnc(S(N)(=O)=O)s1"
"1075","*C(=O)n1cc(C#N)cn1"
"1076","*C(=O)N1CCCC1"
"1084","*C(=O)Nc1cccc(F)c1"
"1086","*c1ccc(S(N)(=O)=O)cc1"
"1087","*C(=O)Nc1ccccn1"
"1088","*C(=O)N1CCC1"
"1093","*c1nc2ccccc2c(=O)n1C"
"1095","*c1ccc(C(=O)O)cc1"
"1098","*C(=O)Nc1ccncc1"
"1102","*C(=O)Nc1ccc(F)cc1"
"1104","*C(=O)Nc1ccc(OC)cc1"
"1106","*C(=O)Nc1ccc(CC)cc1"
"1110","*C1CNCCC1F"
"1113","*CCCOc1ccccc1"
"1115","*CC1CC1"
"1116","*CCCO"
"1117","*CC(F)F"
"1118","*CCF"
"1119","*CC(F)(F)F"
"1123","*c1nc2cc(C)c(C)cc2[nH]1"
"1124","*c1cc(CC)no1"
"1126","*c1ncc(-c2ccc(F)cc2)s1"
"1127","*c1nc(-c2ccccc2)no1"
"1128","*c1cc(-c2ccc(C)cc2)no1"
"1130","*c1cc(-c2ccccc2)no1"
"1131","*c1ncc(-c2ccccc2)s1"
"1135","*c1nnc(-c2ccccc2)o1"
"1138","*C(=O)NCCF"
"1140","*C(C)COC"
"1141","*C1CCCC1"
"1142","*C1CCOCC1"
"1144","*S(=O)(=O)C(C)C"
"1145","*CCCCC(=O)O"
"1147","*CCCCCC(=O)O"
"1150","*c1nc2ccccc2n1C"
"1152","*C(=O)N(C)c1ccccc1"
"1153","*S(=O)(=O)Nc1ccccc1"
"1154","*C(=O)Nc1ccccc1F"
"1155","*C(=O)Nc1ccccc1OC"
"1156","*C(=O)N1CCN(C)CC1"
"1159","*C(=O)Nc1cccc(OC)c1"
"1167","*C(=O)N1CCC(O)CC1"
"1182","*C(=O)N(C)CCO"
"1189","*C(=O)N1CCN(C(C)=O)CC1"
"1196","*Cc1nc2ccccc2n1C"
"1200","*c1nccc(C(F)(F)F)n1"
"1203","*c1nc(C)cc(C(=O)O)n1"
"1207","*CC(=O)N(C)C"
"1210","*Cc1ccccn1"
"1212","*Cc1cccnc1"
"1214","*S(=O)(=O)N(C)C"
"1216","*S(=O)(=O)Cc1ccon1"
"1224","*S(=O)(=O)C1CCCCC1"
"1225","*S(=O)(=O)N1CCCCC1"
"1226","*C1CCOC1"
"1227","*S(=O)(=O)N1CCCC1"
"1228","*S(=O)(=O)N1CCOCC1"
"1231","*c1cc(C)on1"
"1232","*c1cc(C)ccn1"
"1234","*c1ccnc2[nH]ccc12"
"1235","*S(=O)(=O)c1cccc2cccnc12"
"1236","*c1cc(C)nc(NC)n1"
"1237","*c1nc(C)cc(NC)n1"
"1238","*C1CCC(C(C)(C)C)CC1"
"1239","*c1nc(C)nc(NC)n1"
"1240","*c1cc(C)cc(NC)c1"
"1241","*c1nc(NC)nc(NC)n1"
"1242","*C1CCC(C(C)C)CC1"
"1243","*c1cc(C)nc(NC)c1"
"1244","*c1nc(CC)nc(NC)n1"
"1245","*S(=O)(=O)N1CCC(C)CC1"
"1246","*c1cc(NC)nc(C)n1"
"1247","*c1cc(C)cc(NC)n1"
"1248","*c1nc(C)nc(NC(C)C)n1"
"1249","*c1nc(C)nc(NCCOC)n1"
"1250","*C(C)c1cccc2ccccc12"
"1251","*c1cc(N)ccn1"
"1252","*c1nc(C)nc(N(C)C)n1"
"1255","*C(=O)NC(C)(C)C"
"1258","*c1nnc2n1CCCCC2"
"1259","*C(O)(CC)CC"
"1260","*CCCCN(C)Cc1ccccc1"
"1261","*CN1CCN(c2ccccc2)CC1"
"1262","*c1cncc(N)c1C"
"1265","*CNCC1CCCCC1"
"1266","*CCCN(C)Cc1ccccc1"
"1268","*Oc1cccc(O)c1"
"1269","*c1cccc(N)c1C"
"1278","*C(=O)NC(=O)c1ccccc1"
"1279","*NS(C)(=O)=O"
"1280","*S(=O)(=O)Nc1ccccn1"
"1282","*S(=O)(=O)Nc1ncccn1"
"1283","*S(=O)(=O)Nc1nccs1"
"1285","*c1ccc2ccccc2c1"
"1286","*c1nc2ccccc2o1"
"1287","*c1ccc2[nH]c(C)cc2c1"
"1288","*CCCCO"
"1295","*C(=O)NC(C)CC"
"1309","*C(=O)NC1CCC(O)C1"
"1313","*C(=O)NCC(C)O"
"1318","*C(=O)NCC(C)(C)O"
"1319","*c1nc[nH]n1"
"1320","*CC(C)(C)O"
"1321","*c1nn[nH]n1"
"1322","*c1nnnn1C"
"1327","*CC12CC3CC(CC(C3)C1)C2"
"1328","*C(=O)Nc1ccc(C)cc1"
"1329","*CCc1cccc(C#N)c1"
"1331","*CCc1ccc(C#N)cc1"
"1333","*c1nc(N)nc2scnc12"
"1337","*C(=O)NCc1cn[nH]n1"
"1346","*C(=O)NCCC#N"
"1348","*C(=O)N(C)CCC#N"
"1349","*C(=O)NCC#N"
"1350","*C(=O)N(C)CC#N"
"1355","*CCC#N"
"1356","*C(O)C(C)C"
"1357","*c1cnc[nH]1"
"1358","*C1(C)CC1"
"1359","*C1CC1C"
"1360","*C(C)(C)F"
"1361","*c1cnon1"
"1362","*C1(C#N)CC1"
"1364","*N(C)CC"
"1365","*c1cnco1"
"1366","*C1(C)COC1"
"1368","*c1ncn[nH]1"
"1369","*c1cc[nH]c1"
"1370","*C1CCNC1"
"1371","*C(COC)COC"
"1372","*C1CCN(CC)CC1"
"1373","*CCC(F)(F)F"
"1375","*C1CCN(C(C)C)CC1"
"1376","*C(O)CCC"
"1379","*C(C)(C)CC"
"1391","*CCC(C)(C)C"
"1392","*OCC(C)C"
"1393","*COCC(F)(F)F"
"1394","*c1nnc(C)s1"
"1396","*c1nnc(CF)s1"
"1398","*c1nnc(C(F)(F)F)s1"
"1400","*C(=O)NC(C)(C)CC"
"1401","*C(=O)NCCC(C)(C)C"
"1403","*C(=O)NC(C)(C)CC(C)(C)C"
"1404","*C(=O)NC12CC3CC(CC(C3)C1)C2"
"1406","*C(=O)NCC(C)(C)C"
"1410","*C(CO)CO"
"1411","*C(O)CO"
"1413","*C1CCN(C(C)=O)CC1"
"1414","*CCS(C)(=O)=O"
"1417","*CC(C)(C)C"
"1418","*CCS(=O)(=O)CC"
"1419","*c1ccncn1"
"1420","*c1ncc(F)cc1F"
"1421","*c1ccc(F)cc1F"
"1422","*C1CCC(F)(F)CC1"
"1423","*CCc1c[nH]cn1"
"1424","*CCc1c[nH]c2ccc(F)cc12"
"1425","*CCc1ccsc1"
"1426","*CCc1c[nH]c2ccccc12"
"1427","*C(CC)n1ccnc1"
"1428","*N(CC)CC"
"1430","*C(OC(F)F)C(F)(F)F"
"1431","*C(C#N)CC"
"1432","*C(CC)OC"
"1433","*CCCF"
